NR;PLOEG;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;30;30;30;30;30;20;30;30;20;30;30;20;330
1;Nine Inch Tails;18;16;21;;;;;;;;;;55
2;De Giraf;14;17;15;;;;;;;;;;46
3;Paris Hilton Lookalikes;22;22;24,5;;;;;;;;;;68,5
4;Queers On A Stoned Rage;17;16;23;;;;;;;;;;56
5;Alcoholica;0;0;;;;;;;;;;;0
6;De Zakkenrollers;29;26;30;;;;;;;;;;85
7;Oude Zakken;22;22;28;;;;;;;;;;72
8;Sympathie vur den Duvel;25;21;23;;;;;;;;;;69
9;Bruce Horny;24;25;28;;;;;;;;;;77
10;Goodkoop Zat in 't Halve Maantje;;0;;;;;;;;;;;0
11;Scary Monsters;23;20;21;;;;;;;;;;64
12;Hoeverock Animatieteam;27;26;30;;;;;;;;;;83
13;Cevisten;26;23;24;;;;;;;;;;73
14;All Play And No Work;21;16;24;;;;;;;;;;61
15;Jan, Piet, Joris en Sam Gooris;24;23;28;;;;;;;;;;75
16;No ID;23;24;28;;;;;;;;;;75
17;De Echte Ware Forummers;26;27;29;;;;;;;;;;82
18;De Plankierkaarters;28;27;26;;;;;;;;;;81
19;De Stimpy's;28;24;26;;;;;;;;;;78
20;Supercalifragilisticexpialidocious;24;24;25;;;;;;;;;;73
21;De Piekniekskes;21;17;27;;;;;;;;;;65
22;Prinsen Der Duisternis;21;20;21;;;;;;;;;;62
23;Green Onions;23;23;27;;;;;;;;;;73
24;De Vleesgeworden Genialiteit en Aanverwante;23;21;29;;;;;;;;;;73
25;Koevoet is beter dan Boullie;16;11;27;;;;;;;;;;54
26;Popingers;28;26;29;;;;;;;;;;83
27;De Klinke;28;25;29;;;;;;;;;;82
28;Flying Foxes;18;13;23;;;;;;;;;;54
29;WMYA;24;21;30;;;;;;;;;;75
30;Hai, Rylegs;16;17;16;;;;;;;;;;49
31;Kas & The Holly's;28;26;25;;;;;;;;;;79
32;Los Locos;26;26;26;;;;;;;;;;78
33;The Return of the Dolly Dots Dot Com;27;23;29;;;;;;;;;;79
34;Zazawie;29;26;29;;;;;;;;;;84
35;Die Schmetterlinge;14;18;18;;;;;;;;;;50
36;Spek en Bonen;14;17;14;;;;;;;;;;45
37;Zootje Ongeregeld;24;22;25;;;;;;;;;;71
38;De Druuge Kelen 2.0;24;21;28;;;;;;;;;;73
39;Starbuk & Apollo;21;20;19;;;;;;;;;;60
40;De Daisybelzen;22;24;24;;;;;;;;;;70
41;De Ratata's;26;22;21;;;;;;;;;;69
42;De Bokothorianen;20;21;24;;;;;;;;;;65
43;De B-Sides;19;13;17;;;;;;;;;;49
44;Nuns & Moses;17;17;22;;;;;;;;;;56
45;De Lawaaimakers;18;19;23;;;;;;;;;;60
46;Abeelken;;;;;;;;;;;;;0
47;Lady Lucidity's DreaM Team;29;26;28;;;;;;;;;;83
48;Kirustjo;27;25;29;;;;;;;;;;81
49;De Peetieloeties;19;18;22;;;;;;;;;;59
50;Vlassenbroek 2000;15;12;22;;;;;;;;;;49
51;Vier Schellen Gezouten Geringeld;23;24;25;;;;;;;;;;72
52;De Stijlpaardroggen;;;;;;;;;;;;;0
53;De Hertenkoppen;25;21;26;;;;;;;;;;72
54;Tequila Overdrive;18;16;20;;;;;;;;;;54
55;Duur Nuchter in 't Volle Zonnetje;15;16;20;;;;;;;;;;51
56;Team Othy;21;8;18;;;;;;;;;;47
57;Disorder;16;16;21;;;;;;;;;;53
