NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;20;30;40;30;20;30;30;20;30;30;30;20;170
1;Scary Monsters;;18;28;40;29;18;28;;;;;;;161
2;Rock Monsieur;;17;28;36;27;19;22;;;;;;;149
3;Paris Hilton Lookalikes;;14;30;34;29;15;22;;;;;;;144
4;Comfortably Dumb;1;14;27;25;25;10;15;;;;;;;116
5;Busty Springfield;1;11;28;29;29;15;23;;;;;;;135
6;Los Locos;1;14;27;28;29;14;24;;;;;;;136
7;Flying Foxes;;13;28;23;24;12;16;;;;;;;116
8;City Trash;;14;27;21;27;16;21;;;;;;;126
9;De Giraf;;13;24;24;21;13;16;;;;;;;111
10;Bruce Horny & The Rest;;19;28;36;30;20;23;;;;;;;156
11;Green Onions;;15;26;34;23;16;21;;;;;;;135
12;Martha Wainwrong Ain't Right ;;17;28;37;29;18;24;;;;;;;153
13;Koevoet Is Beter Dan Boullie;;12;27;30;24;11;18;;;;;;;122
14;WMYA;;15;27;17;27;16;19;;;;;;;121
15;Testedoene;;15;28;32;25;17;21;;;;;;;138
16;Goedkoop Zat In 't Halve Maantje;;17;26;28;27;15;19;;;;;;;132
17;The 4 sLEEpless Horsemen Of The Apocalypse;;16;28;31;29;18;23;;;;;;;145
18;Starbuk & Apollo;;16;28;36;28;17;27;;;;;;;152
19;Car Comfort Solutions;;5;27;18;18;10;11;;;;;;;89
20;De Plankierkaarters;;14;29;20;23;16;21;;;;;;;123
21;Zazawie;;13;24;28;25;11;17;;;;;;;118
22;Vlassenbroek 2000;;18;28;37;29;20;27;;;;;;;159
23;No ID;;12;26;26;29;20;22;;;;;;;135
24;De Stijlpaardroggen;;10;23;16;21;10;12;;;;;;;92
25;The Return of The Dolly Dots;;12;24;20;24;11;17;;;;;;;108
26;Rode BMW staat fout geparkeerd;;13;25;20;20;9;10;;;;;;;97
27;Silly Wommers;;17;28;37;27;16;19;;;;;;;144
28;De Popingers ;;13;27;30;22;16;20;;;;;;;128
29;Lou Reed in Velo;;17;26;29;25;17;18;;;;;;;132
30;My Dying Pride;;17;28;29;27;17;24;;;;;;;142
31;Cevisten;;16;27;33;24;14;17;;;;;;;131
32;De vierkante meter;;7;25;17;18;7;12;;;;;;;86
33;Drink Floyd;;12;25;23;26;12;19;;;;;;;117
34;De Stimpy's;;15;27;33;30;17;27;;;;;;;149
35;De Prinsen Der Duisternis;;9;27;23;28;13;18;;;;;;;118
36;Tequila Overdrive;;16;26;37;26;17;24;;;;;;;146
37;De buis van Eustachius;;17;17;34;28;10;23;;;;;;;129
38;Franca Xapa;;18;28;35;28;11;26;;;;;;;146
39;Zootje Ongeregeld;;16;28;31;28;14;22;;;;;;;139
40;A Tribe Called Wuk Est?;;17;28;34;28;14;24;;;;;;;145
41;Pietboef Mipus Mipus;;7;13;11;22;12;7;;;;;;;72
42;Dead Daisy Smiles ft. Baldwin;;11;24;24;23;10;15;;;;;;;107
43;Klein Zottegem;;14;21;20;26;14;15;;;;;;;110
44;De Hertenkoppen;;0;0;0;0;0;0;;;;;;;0
45;Floyd;;12;19;16;22;17;10;;;;;;;96
46;Nuns & Mozes;;13;26;17;23;13;11;;;;;;;103
47;Dawetekiknie;;3;18;16;19;13;10;;;;;;;79
48;Freddie Vedder;;9;21;14;23;8;11;;;;;;;86
49;De Vleesgeworden Genialiteit en Aanverwante;;16;28;28;26;12;18;;;;;;;128
50;Barbara Spreidstand;;13;20;20;26;12;12;;;;;;;103
51;Voor Spek En Zonen;;8;21;16;15;9;10;;;;;;;79
52;De Gierende Bandjes;;3;22;10;16;7;7;;;;;;;65
53;The Bet;;8;26;20;22;14;17;;;;;;;107
54;De Holvoetjes;;9;23;19;24;10;19;;;;;;;104
55;Die Schmetterlinge;;15;21;15;25;13;10;;;;;;;99
