NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;30;40;30;30;30;20;30;30;30;20;
1;Metea ;;;;;;;;;;;;;;
2;Paris Hilton Lookalikes ;1;;;;;;;;;;;;;
3;Asibille O ;;;;;;;;;;;;;;
4;Goe Vur In Den Otto ;;;;;;;;;;;;;;
5;Valse Toon ;;;;;;;;;;;;;;
6;De Vierkante Meter ;;;;;;;;;;;;;;
7;Dilly Boys ;;;;;;;;;;;;;;
8;Tequila Overdrive ;1;;;;;;;;;;;;;
9;The 4 sLEEpless horsemen of the apocalypse ;1;;;;;;;;;;;;;
10;"A Tribe Called ""Wuk Est?"" ";1;;;;;;;;;;;;;
11;Los Locos ;1;;;;;;;;;;;;;
12;Rock Monsieur ;1;;;;;;;;;;;;;
13;Goedkoop Zat in 't Halve Maantje ;1;;;;;;;;;;;;;
14;Bruce Horny & The Rest ;1;;;;;;;;;;;;;
15;Martha Wainwrong Ain't Right ;1;;;;;;;;;;;;;
16;De Buis van Eustachius ;1;;;;;;;;;;;;;
17;Barbara Spreidstand ;;;;;;;;;;;;;;
18;Scary Monsters ;1;;;;;;;;;;;;;
19;The Holly's ;1;;;;;;;;;;;;;
20;KIPZ ;1;;;;;;;;;;;;;
21;De Popingers ;1;;;;;;;;;;;;;
22;Hooray For Boobies ;;;;;;;;;;;;;;
23;Ron Jeremy Fanclub ;;;;;;;;;;;;;;
24;Lou reed in velo ;1;;;;;;;;;;;;;
25;Ne Pas De Stoel ;;;;;;;;;;;;;;
26;Agera Events ;;;;;;;;;;;;;;
27;Green Onions ;1;;;;;;;;;;;;;
28;Die Schmetterlinge ;;;;;;;;;;;;;;
29;De Plankierkaarters ;;;;;;;;;;;;;;
30;Mustafa Ndoage ;;;;;;;;;;;;;;
31;Les Patrick Bruels ;;;;;;;;;;;;;;
32;Nainggolan ;;;;;;;;;;;;;;
33;De Vleesgeworden Genialiteit en Aanverwante ;;;;;;;;;;;;;;
34;De Stimpy's ;1;;;;;;;;;;;;;
35;Testedoene ;1;;;;;;;;;;;;;
36;Absolute Beginners ;;;;;;;;;;;;;;
37;Flying Foxes ;;;;;;;;;;;;;;
38;Mizzfonky & the Paranoiacs ;;;;;;;;;;;;;;
39;Sympathie vur den Duvel ;1;;;;;;;;;;;;;
40;Garnizoen! ;1;;;;;;;;;;;;;
41;City Trash ;;;;;;;;;;;;;;
42;VZW Alarm ;;;;;;;;;;;;;;
43;Chop Soy ;;;;;;;;;;;;;;
44;Nine Inch Male ;;;;;;;;;;;;;;
45;Bloody Well Right ;;;;;;;;;;;;;;
46;FAQ DADDE ;;;;;;;;;;;;;;
47;The Bloodhound Gang Of Four ;;;;;;;;;;;;;;
48;Jan, Piet, Joris en Sam Gooris ;1;;;;;;;;;;;;;
49;De Stijlpaardroggen ;;;;;;;;;;;;;;
50;Team Destroy ;;;;;;;;;;;;;;
51;Rock Rules ;;;;;;;;;;;;;;
52;The return of the Dolly Dots dot com ;;;;;;;;;;;;;;
53;Alles Of Niets ;;;;;;;;;;;;;;
54;De Piazadora's ;;;;;;;;;;;;;;
55;De Poppers ;;;;;;;;;;;;;;
56;Het Directieteam ;;;;;;;;;;;;;;
57;Cevisten ;;;;;;;;;;;;;;
58;Chou and the Bollywood Havanas;;;;;;;;;;;;;;
59;Werktitel ;;;;;;;;;;;;;;
60;Spotless Giraffes ;;;;;;;;;;;;;;
61;Niveau Nihil ;;;;;;;;;;;;;;
62;De Daisybelzen ;;;;;;;;;;;;;;
63;De Bende Van Twijfel ;;;;;;;;;;;;;;
64;Vendredi Sport ;;;;;;;;;;;;;;
65;Formerly Known As The Long Necked Nightingales ;;;;;;;;;;;;;;
