NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;30;30;20;30;40;30;30;30;30;20;170
1;Los Locos ;1;27;28;24;28;17;29;;;;;;;153
2;Metea ; ;25;23;18;25;15;24;;;;;;;130
3;Martha Wainwrong ain't Right;1;27;28;23;29;17;30;;;;;;;154
4;KIPZ ;1;26;29;25;25;15;24;;;;;;;144
5;Paris Hilton Lookalikes ;1;28;26;26;29;18;29;;;;;;;156
6;Dilly Boys and a Girl ; ;19;22;13;25;11;24;;;;;;;114
7;Alles Of Niets; ;17;19;13;17;8;20;;;;;;;94
8;Goedkoop Zat in 't Halve Maantje ;1;28;27;23;29;19;26;;;;;;;152
9;The 4 sLEEpless horsemen of the apocalypse ;1;28;28;24;29;17;28;;;;;;;154
10;De Vierkante Meter ; ;21;18;13;17;11;20;;;;;;;100
11;De Cevisten ; ;21;27;20;24;15;21;;;;;;;128
12;Het Directieteam ; ;24;27;22;30;15;21;;;;;;;139
13;De Buis van Eustachius ; ;24;22;21;28;19;26;;;;;;;140
14;Chop Soy ; ;22;25;13;20;11;18;;;;;;;109
15;Asibille O ; ;20;15;13;21;14;21;;;;;;;104
16;Goe Vur In Den Otto ; ;23;27;20;21;12;24;;;;;;;127
17;Lou Reed in velo ;1;24;24;19;26;15;24;;;;;;;132
18;De Stijlpaardroggen ; ;21;15;14;14;8;17;;;;;;;89
19;Nog Locos ;1;27;28;22;27;16;22;;;;;;;142
20;City Trash ; ;26;21;18;24;15;20;;;;;;;124
21;Garnizoen! ;1;28;30;24;29;18;27;;;;;;;156
22;The Bloodhound Gang Of Four ; ;22;18;16;26;16;18;;;;;;;116
23;De Tamme Impala's ; ;20;21;18;23;10;19;;;;;;;111
24;Agera Events ; ;17;10;11;15;8;15;;;;;;;76
25;Die Schmetterlinge ; ;22;26;15;27;13;20;;;;;;;123
26;Dolly Party ; ;24;19;19;26;12;22;;;;;;;122
27;Pohrebny Sluzba ; ;24;26;16;27;15;26;;;;;;;134
28;Scary Monsters ;1;29;29;25;28;19;28;;;;;;;158
29;De Popingers ;1;26;29;21;28;15;24;;;;;;;143
30;De Plankierkaarters ; ;29;23;21;27;14;24;;;;;;;138
31;Bruce Horny And The Rest ;1;28;30;23;29;19;28;;;;;;;157
32;De vleesgeworden genialiteit en aanverwante;;23;23;15;23;14;23;;;;;;;121
33;Sympathie vur den Duvel ;1;28;25;23;28;17;26;;;;;;;147
34;Chou and the Bollywood Havanas;;20;14;15;17;14;18;;;;;;;98
35;The Return of the Dolly Dots Dot Com ; ;22;16;14;22;11;18;;;;;;;103
36;Meer ego dan kennis ; ;23;14;17;23;14;19;;;;;;;110
37;Mississippi Queen ; ;24;22;19;27;16;25;;;;;;;133
38;Green Onions ;1;27;27;22;28;17;22;;;;;;;143
39;Charivari Avatar Homecoming ; ;20;24;12;25;15;20;;;;;;;116
40;Flying Foxes ; ;18;20;14;26;11;21;;;;;;;110
41;Rock Monsieur ;1;27;28;24;25;18;26;;;;;;;148
42;Zazawie ; ;21;24;18;24;15;22;;;;;;;124
43;Barbara Spreidstand ; ;17;21;19;22;16;21;;;;;;;116
44;Absolute Beginners ; ;18;20;16;26;15;16;;;;;;;111
45;Ron Jeremy Fanclub ; ;24;25;15;25;15;21;;;;;;;125
46;Jan, Piet, Joris en Sam Gooris ;1;28;29;24;29;18;26;;;;;;;154
47;The Quinto's;;19;15;12;11;13;14;;;;;;;84
48;Herr Quenique ; ;23;24;19;28;17;22;;;;;;;133
49;Kust Ze ; ;19;12;7;10;8;10;;;;;;;66
50;Tequila Overdrive ;1;27;27;24;29;16;27;;;;;;;150
51;Family Soundsystem ; ;20;17;17;16;13;21;;;;;;;104
52;Vendredi Sport ; ;18;23;13;20;13;18;;;;;;;105
53;Team Destroy ; ;19;13;13;17;11;16;;;;;;;89
54;Shotgun ; ;19;14;15;28;13;18;;;;;;;107
55;Like a Harry Kane ; ;22;18;18;18;16;19;;;;;;;111
56;De Daisybelzen ; ;25;20;17;26;17;25;;;;;;;130
57;t Negende ; ;22;22;14;22;12;19;;;;;;;111
58;Stovrie Pride;;24;28;22;28;17;23;;;;;;;142
59;Zottegem Blues ; ;26;13;16;22;15;22;;;;;;;114
