NR;PLOEG;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;30;30;30;30;30;20;30;30;20;30;30;20;330
1;Nine Inch Tails;29;26;30;;;;;;;;;;85
2;De Giraf;29;26;29;;;;;;;;;;84
3;Paris Hilton Lookalikes;27;26;30;;;;;;;;;;83
4;Queers On A Stoned Rage;28;26;29;;;;;;;;;;83
5;Alcoholica;29;26;28;;;;;;;;;;83
6;De Zakkenrollers;26;27;29;;;;;;;;;;82
7;Oude Zakken;28;25;29;;;;;;;;;;82
8;Sympathie vur den Duvel;28;27;26;;;;;;;;;;81
9;Bruce Horny;27;25;29;;;;;;;;;;81
10;Goodkoop Zat in 't Halve Maantje;28;26;25;;;;;;;;;;79
11;Scary Monsters;27;23;29;;;;;;;;;;79
12;Hoeverock Animatieteam;28;24;26;;;;;;;;;;78
13;Cevisten;26;26;26;;;;;;;;;;78
14;All Play And No Work;24;25;28;;;;;;;;;;77
15;Jan, Piet, Joris en Sam Gooris;24;23;28;;;;;;;;;;75
16;No ID;23;24;28;;;;;;;;;;75
17;De Echte Ware Forummers;24;21;30;;;;;;;;;;75
18;De Plankierkaarters;26;23;24;;;;;;;;;;73
19;De Stimpy's;24;24;25;;;;;;;;;;73
20;Supercalifragilisticexpialidocious;23;23;27;;;;;;;;;;73
21;De Piekniekskes;23;21;29;;;;;;;;;;73
22;Prinsen Der Duisternis;24;21;28;;;;;;;;;;73
23;Green Onions;22;22;28;;;;;;;;;;72
24;De Vleesgeworden Genialiteit en Aanverwante;23;24;25;;;;;;;;;;72
25;Koevoet is beter dan Boullie;25;21;26;;;;;;;;;;72
26;Popingers;24;22;25;;;;;;;;;;71
27;De Klinke;22;24;24;;;;;;;;;;70
28;Flying Foxes;25;21;23;;;;;;;;;;69
29;WMYA;26;22;21;;;;;;;;;;69
30;Hai, Rylegs;22;22;24,5;;;;;;;;;;68,5
31;Kas & The Holly's;21;17;27;;;;;;;;;;65
32;Los Locos;20;21;24;;;;;;;;;;65
33;The Return of the Dolly Dots Dot Com;23;20;21;;;;;;;;;;64
34;Zazawie;21;20;21;;;;;;;;;;62
35;Die Schmetterlinge;21;16;24;;;;;;;;;;61
36;Spek en Bonen;21;20;19;;;;;;;;;;60
37;Zootje Ongeregeld;18;19;23;;;;;;;;;;60
38;De Druuge Kelen 2.0;19;18;22;;;;;;;;;;59
39;Starbuk & Apollo;17;16;23;;;;;;;;;;56
40;De Daisybelzen;17;17;22;;;;;;;;;;56
41;De Ratata's;18;16;21;;;;;;;;;;55
42;De Bokothorianen;16;11;27;;;;;;;;;;54
43;De B-Sides;18;13;23;;;;;;;;;;54
44;Nuns & Moses;18;16;20;;;;;;;;;;54
45;De Lawaaimakers;16;16;21;;;;;;;;;;53
46;Abeelken;15;16;20;;;;;;;;;;51
47;Lady Lucidity's DreaM Team;14;18;18;;;;;;;;;;50
48;Kirustjo;16;17;16;;;;;;;;;;49
49;De Peetieloeties;19;13;17;;;;;;;;;;49
50;Vlassenbroek 2000;15;12;22;;;;;;;;;;49
51;Vier Schellen Gezouten Geringeld;21;8;18;;;;;;;;;;47
52;De Stijlpaardroggen;14;17;15;;;;;;;;;;46
53;De Hertenkoppen;14;17;14;;;;;;;;;;45
54;Tequila Overdrive;0;0;;;;;;;;;;;0
55;Duur Nuchter in 't Volle Zonnetje;;0;;;;;;;;;;;0
56;Team Othy;;;;;;;;;;;;;0
57;Disorder;;;;;;;;;;;;;0
