NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;30;30;30;30;30;20;30;30;30;20;150
1;MeTeA ;;25;24;24;24;24;;;;;;;;121
2;Paris Hilton Lookalikes ;1;29;26;28;26;28;;;;;;;;137
3;Asibille O ;;22;15;20;14;11;;;;;;;;82
4;Goe Vur In Den Otto ;;26;17;19;20;17;;;;;;;;99
5;Valse Toon ;;12;6;10;8;9;;;;;;;;45
6;De Vierkante Meter ;;23;13;18;16;13;;;;;;;;83
7;Dilly Boys ;;22;8;22;19;20;;;;;;;;91
8;Tequila Overdrive ;1;29;25;25;27;29;;;;;;;;135
9;The 4 sLEEpless horsemen of the apocalypse ;1;26;27;26;26;27;;;;;;;;132
10;"A Tribe Called ""Wuk Est?"" ";1;27;24;25;24;29;;;;;;;;129
11;Los Locos ;1;26;28;28;28;26;;;;;;;;136
12;Rock Monsieur ;1;27;25;26;24;25;;;;;;;;127
13;Goedkoop Zat in 't Halve Maantje ;1;26;18;26;24;25;;;;;;;;119
14;Bruce Horny & The Rest ;1;28;23;28;26;27;;;;;;;;132
15;Martha Wainwrong Ain't Right ;1;30;25;24;27;29;;;;;;;;135
16;De Buis van Eustachius ;1;27;24;26;22;20;;;;;;;;119
17;Barbara Spreidstand ;;21;11;22;15;10;;;;;;;;79
18;Scary Monsters ;1;30;27;28;27;30;;;;;;;;142
19;The Holly's ;1;29;26;27;22;27;;;;;;;;131
20;KIPZ ;1;25;21;24;24;19;;;;;;;;113
21;De Popingers ;1;26;22;25;25;25;;;;;;;;123
22;Hooray For Boobies ;;25;14;17;18;14;;;;;;;;88
23;Ron Jeremy Fanclub ;;21;15;21;15;18;;;;;;;;90
24;Lou reed in velo ;1;25;24;23;22;18;;;;;;;;112
25;Ne Pas De Stoel ;;19;9;16;6;9;;;;;;;;59
26;Agera Events ;;11;13;12;9;7;;;;;;;;52
27;Green Onions ;1;25;19;23;25;24;;;;;;;;116
28;Die Schmetterlinge ;;22;12;24;17;15;;;;;;;;90
29;De Plankierkaarters ;;25;21;25;19;14;;;;;;;;104
30;Mustafa Ndoage ;;20;14;24;19;18;;;;;;;;95
31;Les Patrick Bruels ;;23;18;22;14;14;;;;;;;;91
32;Nainggolan ;;20;18;19;21;21;;;;;;;;99
33;De Vleesgeworden Genialiteit en Aanverwante ;;25;18;20;18;23;;;;;;;;104
34;De Stimpy's ;1;29;26;26;27;24;;;;;;;;132
35;Testedoene ;1;28;22;24;23;25;;;;;;;;122
36;Absolute Beginners ;;23;15;18;17;20;;;;;;;;93
37;Flying Foxes ;;24;13;19;15;22;;;;;;;;93
38;Mizzfonky & the Paranoiacs ;;0;0;0;0;0;;;;;;;;0
39;Sympathie vur den Duvel ;1;29;26;28;26;26;;;;;;;;135
40;Garnizoen! ;1;28;26;25;23;26;;;;;;;;128
41;City Trash ;;22;17;24;16;19;;;;;;;;98
42;VZW Alarm ;;18;8;13;10;7;;;;;;;;56
43;Chop Soy ;;19;16;17;18;16;;;;;;;;86
44;Nine Inch Male ;;20;11;11;18;6;;;;;;;;66
45;Bloody Well Right ;;11;22;21;19;20;;;;;;;;93
46;FAQ DADDE ;;12;12;12;8;5;;;;;;;;49
47;The Bloodhound Gang Of Four ;;24;12;21;17;13;;;;;;;;87
48;Jan, Piet, Joris en Sam Gooris ;1;30;28;26;27;26;;;;;;;;137
49;De Stijlpaardroggen ;;9;12;20;14;5;;;;;;;;60
50;Team Destroy ;;18;11;13;14;13;;;;;;;;69
51;Rock Rules ;;13;13;11;14;10;;;;;;;;61
52;The return of the Dolly Dots dot com ;;11;17;20;16;13;;;;;;;;77
53;Alles Of Niets ;;19;13;12;12;8;;;;;;;;64
54;De Piazadora's ;;18;22;20;23;21;;;;;;;;104
55;De Poppers ;;17;12;17;16;11;;;;;;;;73
56;Het Directieteam ;;25;17;21;20;23;;;;;;;;106
57;Cevisten ;;25;23;20;17;18;;;;;;;;103
58;Chou and the Bollywood Havanas;;14;16;18;14;6;;;;;;;;68
59;All Small Petes;;24;21;23;26;26;;;;;;;;120
60;Spotless Giraffes ;;5;5;15;6;1;;;;;;;;32
61;Niveau Nihil ;;9;9;12;7;5;;;;;;;;42
62;De Daisybelzen ;;19;19;20;22;22;;;;;;;;102
63;De Bende Van Twijfel ;;15;6;10;12;5;;;;;;;;48
64;Vendredi Sport ;;17;10;16;13;9;;;;;;;;65
65;Formerly Known As The Long Necked Nightingales ;;19;15;22;18;13;;;;;;;;87
