NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;30;30;20;30;40;30;30;30;30;20;
1;Los Locos ;1;;;;;;;;;;;;;
2;Metea ; ;;;;;;;;;;;;;
3;Martha Wainwrong ain't Right;1;;;;;;;;;;;;;
4;KIPZ ;1;;;;;;;;;;;;;
5;Paris Hilton Lookalikes ;1;;;;;;;;;;;;;
6;Dilly Boys and a Girl ; ;;;;;;;;;;;;;
7;Alles Of Niets; ;;;;;;;;;;;;;
8;Goedkoop Zat in 't Halve Maantje ;1;;;;;;;;;;;;;
9;The 4 sLEEpless horsemen of the apocalypse ;1;;;;;;;;;;;;;
10;De Vierkante Meter ; ;;;;;;;;;;;;;
11;De Cevisten ; ;;;;;;;;;;;;;
12;Het Directieteam ; ;;;;;;;;;;;;;
13;De Buis van Eustachius ; ;;;;;;;;;;;;;
14;Chop Soy ; ;;;;;;;;;;;;;
15;Asibille O ; ;;;;;;;;;;;;;
16;Goe Vur In Den Otto ; ;;;;;;;;;;;;;
17;Lou Reed in vélo ;1;;;;;;;;;;;;;
18;De Stijlpaardroggen ; ;;;;;;;;;;;;;
19;Nog Locos ;1;;;;;;;;;;;;;
20;City Trash ; ;;;;;;;;;;;;;
21;Garnizoen! ;1;;;;;;;;;;;;;
22;The Bloodhound Gang Of Four ; ;;;;;;;;;;;;;
23;De Tamme Impala's ; ;;;;;;;;;;;;;
24;Agera Events ; ;;;;;;;;;;;;;
25;Die Schmetterlinge ; ;;;;;;;;;;;;;
26;Dolly Party ; ;;;;;;;;;;;;;
27;Pohrebny Sluzba ; ;;;;;;;;;;;;;
28;Scary Monsters ;1;;;;;;;;;;;;;
29;De Popingers ;1;;;;;;;;;;;;;
30;De Plankierkaarters ; ;;;;;;;;;;;;;
31;Bruce Horny And The Rest ;1;;;;;;;;;;;;;
32;De vleesgeworden genialiteit en aanverwante;;;;;;;;;;;;;;
33;Sympathie vur den Duvel ;1;;;;;;;;;;;;;
34;Chou and the Bollywood Havanas;;;;;;;;;;;;;;
35;The Return of the Dolly Dots Dot Com ; ;;;;;;;;;;;;;
36;Meer ego dan kennis ; ;;;;;;;;;;;;;
37;Mississippi Queen ; ;;;;;;;;;;;;;
38;Green Onions ;1;;;;;;;;;;;;;
39;Charivari Avatar Homecoming ; ;;;;;;;;;;;;;
40;Flying Foxes ; ;;;;;;;;;;;;;
41;Rock Monsieur ;1;;;;;;;;;;;;;
42;Zazawie ; ;;;;;;;;;;;;;
43;Barbara Spreidstand ; ;;;;;;;;;;;;;
44;Absolute Beginners ; ;;;;;;;;;;;;;
45;Ron Jeremy Fanclub ; ;;;;;;;;;;;;;
46;Jan, Piet, Joris en Sam Gooris ;1;;;;;;;;;;;;;
47;The Quinto’s;;;;;;;;;;;;;;
48;Herr Quenique ; ;;;;;;;;;;;;;
49;Kust Ze ; ;;;;;;;;;;;;;
50;Tequila Overdrive ;1;;;;;;;;;;;;;
51;Family Soundsystem ; ;;;;;;;;;;;;;
52;Vendredi Sport ; ;;;;;;;;;;;;;
53;Team Destroy ; ;;;;;;;;;;;;;
54;Shotgun ; ;;;;;;;;;;;;;
55;Like a Harry Kane ; ;;;;;;;;;;;;;
56;De Daisybelzen ; ;;;;;;;;;;;;;
57;‘t Negende ; ;;;;;;;;;;;;;
58;Stovrie Pride;;;;;;;;;;;;;;
59;Zottegem Blues ; ;;;;;;;;;;;;;
